location,recovery_rate
Dominica,1.0
Grenada,1.0
Djibouti,0.9837912630954734
Iceland,0.9832793959007551
Brunei,0.9787234042553191
New Zealand,0.9723827874116892
Qatar,0.9701725412191939
Malaysia,0.9659703504043127
Mauritius,0.9651162790697675
Norway,0.9583880858519492
Laos,0.95
Malta,0.948644793152639
Estonia,0.9454277286135693
Thailand,0.9435850773430391
Liechtenstein,0.9418604651162791
San Marino,0.9399141630901288
Finland,0.9353879426872128
Greenland,0.9285714285714286
Cuba,0.9285150078988942
Turkey,0.927098612891432
Comoros,0.9265536723163842
Chile,0.9196115232393375
Germany,0.9188941249179188
Saint Lucia,0.9166666666666666
Denmark,0.9159944771455563
South Korea,0.9157924382172781
Bahrain,0.9145939921989767
China,0.9088070244172246
Niger,0.907243816254417
Ireland,0.9023636644523405
Belarus,0.8994959182763081
Singapore,0.8987765057634053
Monaco,0.896551724137931
Switzerland,0.8962496736955071
Austria,0.8875376982196712
United Arab Emirates,0.8873379860418744
Guinea,0.886888731396173
Ghana,0.8863014513442778
Andorra,0.8853362734288864
Jordan,0.8852040816326531
